CustomerID,FullName,Gender,City,JoinDate
C0001,Fatima Al-Zahrani,Female,Abha,2022-08-17
C0002,Khalid Al-Shamri,Male,Buraidah,2023-03-09
C0003,Abdullah Al-Subaie,Male,Abha,2023-06-02
C0004,Haya Al-Subaie,Female,Hail,2023-03-06
C0005,Ziyad Al-Zahrani,Male,Riyadh,2024-02-17
C0006,Anoud Al-Balawi,Female,Makkah,2022-06-09
C0007,Yousef Al-Dosari,Male,Jeddah,2023-01-25
C0008,Ibrahim Al-Zahrani,Male,Riyadh,2024-01-18
C0009,Khalid Al-Maliki,Male,Jeddah,2023-07-20
C0010,Faisal Al-Rashidi,Male,Buraidah,2022-07-16
C0011,Noura Al-Anzi,Female,Makkah,2022-03-23
C0012,Hind Al-Maliki,Female,Makkah,2023-04-10
C0013,Munira Al-Mutairi,Female,Madinah,2022-12-30
C0014,Bader Al-Shamri,Male,Buraidah,2023-10-13
C0015,Nasser Al-Mutairi,Male,Tabuk,2023-01-24
C0016,Waleed Al-Anzi,Male,Madinah,2024-05-13
C0017,Noura Al-Anzi,Female,Riyadh,2024-04-04
C0018,Bader Al-Shamri,Male,Abha,2024-07-24
C0019,Ghada Al-Subaie,Female,Tabuk,2023-02-10
C0020,Bandari Al-Harbi,Female,Makkah,2022-05-23
C0021,Waleed Al-Zahrani,Male,Buraidah,2023-03-15
C0022,Moudi Al-Rashidi,Female,Abha,2022-05-22
C0023,Abdullah Al-Qahtani,Male,Jeddah,2022-06-06
C0024,Anoud Al-Shamri,Female,Taif,2023-01-26
C0025,Hamad Al-Zahrani,Male,Hail,2024-05-31
C0026,Hind Al-Zahrani,Female,Madinah,2022-04-25
C0027,Fahad Al-Omari,Male,Riyadh,2024-09-03
C0028,Shahad Al-Mutairi,Female,Hail,2024-07-23
C0029,Turki Al-Subaie,Male,Dammam,2023-01-18
C0030,Haya Al-Otaibi,Female,Buraidah,2022-11-28
C0031,Khalid Al-Rashidi,Male,Makkah,2022-09-03
C0032,Ziyad Al-Shamri,Male,Jeddah,2024-01-20
C0033,Abdullah Al-Harbi,Male,Dammam,2023-11-07
C0034,Waleed Al-Mutairi,Male,Makkah,2023-06-25
C0035,Anoud Al-Subaie,Female,Hail,2024-02-13
C0036,Lama Al-Ghamdi,Female,Taif,2023-11-19
C0037,Bandari Al-Omari,Female,Jeddah,2022-09-11
C0038,Yousef Al-Otaibi,Male,Buraidah,2023-07-22
C0039,Nasser Al-Otaibi,Male,Jeddah,2023-12-26
C0040,Dana Al-Shamri,Female,Riyadh,2024-05-30
C0041,Nawaf Al-Anzi,Male,Makkah,2023-11-17
C0042,Waleed Al-Harbi,Male,Buraidah,2023-08-14
C0043,Majed Al-Khaldi,Male,Abha,2022-04-07
C0044,Ali Al-Rashidi,Male,Taif,2023-02-25
C0045,Ahmed Al-Dosari,Male,Riyadh,2023-02-17
C0046,Hind Al-Anzi,Female,Abha,2022-07-14
C0047,Saad Al-Khaldi,Male,Dammam,2022-10-13
C0048,Abdullah Al-Omari,Male,Hail,2022-04-11
C0049,Waleed Al-Otaibi,Male,Jeddah,2024-08-06
C0050,Dana Al-Mutairi,Female,Taif,2023-05-13
C0051,Omar Al-Qahtani,Male,Dammam,2023-01-24
C0052,Omar Al-Zahrani,Male,Tabuk,2022-10-20
C0053,Waleed Al-Shehri,Male,Dammam,2022-07-14
C0054,Ahmed Al-Qahtani,Male,Madinah,2022-02-28
C0055,Majed Al-Mutairi,Male,Riyadh,2024-09-10
C0056,Fahad Al-Shamri,Male,Buraidah,2022-03-11
C0057,Dana Al-Maliki,Female,Jeddah,2024-08-22
C0058,Dana Al-Qahtani,Female,Buraidah,2022-03-25
C0059,Ziyad Al-Balawi,Male,Makkah,2022-07-29
C0060,Ghada Al-Anzi,Female,Makkah,2023-02-10
C0061,Turki Al-Omari,Male,Madinah,2024-08-09
C0062,Mariam Al-Otaibi,Female,Tabuk,2023-09-29
C0063,Hind Al-Shamri,Female,Hail,2022-08-07
C0064,Saad Al-Rashidi,Male,Jeddah,2024-06-19
C0065,Turki Al-Mutairi,Male,Tabuk,2024-05-03
C0066,Turki Al-Otaibi,Male,Hail,2022-11-03
C0067,Hind Al-Harbi,Female,Makkah,2022-04-29
C0068,Haya Al-Harbi,Female,Makkah,2022-10-16
C0069,Ghada Al-Subaie,Female,Makkah,2023-06-02
C0070,Ahmed Al-Shamri,Male,Taif,2024-04-29
C0071,Mohammed Al-Balawi,Male,Dammam,2023-10-15
C0072,Reem Al-Omari,Female,Hail,2023-12-24
C0073,Mohammed Al-Dosari,Male,Jeddah,2024-08-25
C0074,Sara Al-Qahtani,Female,Madinah,2023-08-20
C0075,Ali Al-Harbi,Male,Riyadh,2022-11-12
C0076,Ahmed Al-Rashidi,Male,Abha,2023-11-30
C0077,Khalid Al-Rashidi,Male,Hail,2024-06-24
C0078,Jawaher Al-Harbi,Female,Abha,2024-06-04
C0079,Fahad Al-Khaldi,Male,Riyadh,2022-07-03
C0080,Ghada Al-Khaldi,Female,Abha,2022-10-01
